datasetkey	datasetTitle	occurrenceCount
cf7d6c01-309b-4545-8319-3d53b1e8bfd0	Monarch Watch	145665
7f5e4129-0717-428e-876a-464fbd5d9a47	Waarnemingen.be - Non-native plant occurrences in Flanders and the Brussels Capital Region, Belgium	143497
cbc9dc02-6315-4daf-add2-d132ace4662c	Steve Lane – personal records and dataset for Warwickshire Coleoptera and Hemiptera	139155
86ade71a-3894-4f17-bcde-f5894bc5e0f7	Cranefly (Diptera; Tipuloidea) records for Britain to 2016	137398
3d6c8883-c29b-48f6-9fbf-9a5ad6ecbee4	Bird Conservation Targeting Project (BCTP) in the UK, 2006-2011	135656
e6d9a4a4-dbf0-4a3e-87c2-91b6af1f9771	Mammal records from Britain from the Atlas of Mammals (1993), with some subsequent records	133650
417f4d21-959b-4773-90a2-c38d1822d873	BMSM Bailey-Matthews National Shell Museum	127176
68fa8801-0b3e-400e-afa6-5ad08e0f1e4c	Ladybird Survey of the UK	123599
990e845f-836b-4467-bc5f-46c8495259ec	Seasearch Marine Surveys in Scotland	122870
6dc35c87-ff97-4708-9e45-6f764ddc1ef3	PollardBase	117169
869b574f-23eb-4575-a771-6ffd480dcdab	Suivi Temporel des Rhopalocères de France (STERF)	111099
cbd94c94-02ae-4c40-b5b5-ec7221f0482b	Grasshopper and Cricket (Orthoptera) and related species records from Britain and Ireland to 2007	110866
67e2335c-4303-4ee3-9bfe-ecfe65662629	National Mammal Atlas Project, online recording	108421
05a46222-b9ff-4162-a0e1-08bfcc5c6584	Wicken Fen nature reserve species data held by The National Trust	103317
ad005057-c4b5-4eb1-8b3f-8cdc7aaf994f	Monitoring Sites 1000 Satoyama Birds	103069
233ba471-91a2-47a4-9946-b7e844f2124c	Montgomeryshire Wildlife Trust records held by BIS	95238
8a6ca920-216c-4731-a892-f5132570d9ad	An 'as-complete-as-possible' Sussex Beetle Records dataset covering the period to March 2017	92465
54facf62-bf0c-43e7-9972-4fdc407fa6c5	Données photographiques validées de la galerie du forum "Le Monde des Insectes"	91655
2de58bfe-1bf1-4318-97a3-d97efc269a4f	臺灣兩棲類資源調查與教育宣導推廣計畫 Resources survey and education advocacy to promote for Taiwan amphibian resources	91356
958b1d2f-2d11-4e94-a828-c8e2d2c013ca	Waarnemingen.be - Orthoptera occurrences in Flanders and the Brussels Capital Region, Belgium	90476
9cee82bd-8963-4118-a38d-109e2a613ce2	Ornitho.eus	89762
216952bd-4392-4f48-bd5f-322486e2b35c	Coleoptera: Records for Kent	88866
84a649ce-ff81-420d-9c41-aa1de59e3766	ALA species sightings and OzAtlas	84150
82d23348-0fee-4e2d-9152-48136ef54b2d	Seasearch Marine Surveys in Wales	83337
f145c27d-b1c3-4136-85b1-c21674d2d1c3	Exotic plant occurrences in Wallonia	81889
2f59780e-3d77-403a-9437-9a560ea5f764	natagora-earlybirds	81329
cb429b64-d789-47bb-a7d8-379657c5e407	Dutch Butterfly Atlas 1995-1999 - De Vlinderstichting	79141
3fab912e-e927-4f1c-a97c-eb446cd609e0	ClimateWatch	77363
